cnn_blocks,dense_layers,_,Acc,Best_Epoch
1,1,_,0.6948229074478149,2
1,2,_,0.6893733143806458,4
1,3,_,0.7002724409103394,97
2,1,_,0.6893733143806458,4
2,2,_,0.7029972672462463,8
2,3,_,0.6975476741790771,9
3,1,_,0.7029972672462463,4
3,2,_,0.692098081111908,11
3,3,_,0.667574942111969,5
1,1,_,0.6948229074478149,3
1,2,_,0.6975476741790771,3
1,3,_,0.5858310461044312,3
2,1,_,0.7138964533805847,34
2,2,_,0.7111716270446777,6
2,3,_,0.6975476741790771,61
3,1,_,0.6839237213134766,2
3,2,_,0.7166212201118469,7
3,3,_,0.664850115776062,21
