kan_neurons,kan_grid,lamb,_,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-06,_,0.7356948256492615,"[[141  42]
 [ 55 129]]",3,0.9961861371994019,0.003813826246187091,"Bid_Close: 7.21
Ask_High: 7.10
Ask_Close: 6.25","Ex1: 0.41
Ask_Volume: 0.36
Ex5: 0.35"
3,3,1e-06,_,0.7193460464477539,"[[141  42]
 [ 61 123]]",4,0.9957935214042664,0.0042065102607011795,"Ask_High: 8.92
Bid_Close: 8.25
Ask_Close: 7.16","Ex1: 0.42
Ask_Volume: 0.37
Ex5: 0.36"
3,4,0.0001,_,0.6893733143806458,"[[138  45]
 [ 69 115]]",6,0.9945002198219299,0.005499811377376318,"Ask_Close: 5.74
Bid_High: 4.15
Ask_High: 3.78","Ex1: 0.45
Ex5: 0.42
Ask_Volume: 0.38"
3,4,0.0001,_,0.692098081111908,"[[127  56]
 [ 57 127]]",5,0.9924182891845703,0.007581729907542467,"Ask_Close: 5.62
Bid_High: 4.09
Bid_Low: 3.98","Ex1: 0.46
Ex5: 0.42
Ask_Volume: 0.38"
1,3,0.0001,_,0.7193460464477539,"[[134  49]
 [ 54 130]]",12,0.33615803718566895,0.663841962814331,"Bid_High: 4.82
Bid_Close: 3.75
Bid_Low: 2.91","Ex6: 0.46
Ex2: 0.35
Ask_Low: 0.11"
1,3,0.0001,_,0.7029972672462463,"[[130  53]
 [ 56 128]]",14,0.37156981229782104,0.628430187702179,"Bid_High: 5.80
Bid_Close: 3.95
Ask_Close: 2.85","Ex2: 0.61
Ex6: 0.49
Ask_Low: 0.33"
4,3,0.0001,_,0.7138964533805847,"[[133  50]
 [ 55 129]]",5,0.9969836473464966,0.0030164162162691355,"Bid_Close: 14.80
Bid_High: 9.44
Ask_High: 6.05","Ex1: 0.47
Ex5: 0.45
Ask_Volume: 0.39"
4,3,0.0001,_,0.7193460464477539,"[[133  50]
 [ 53 131]]",5,0.9972769021987915,0.0027230470441281796,"Bid_Close: 13.92
Bid_High: 8.83
Ask_High: 5.92","Ex1: 0.48
Ex5: 0.46
Ask_Volume: 0.39"
