cnn_blocks,dense_layers,_,RMSE,Best_Epoch
1,1,_,0.3719860017299652,130
1,2,_,0.47538334131240845,106
1,3,_,0.46680378913879395,143
2,1,_,0.4024546146392822,88
2,2,_,0.43950554728507996,65
2,3,_,0.48880985379219055,32
3,1,_,0.37138715386390686,34
3,2,_,0.42771846055984497,17
3,3,_,0.3809329569339752,39
1,1,_,0.38554906845092773,198
1,2,_,0.4054917097091675,100
1,3,_,0.4084329605102539,185
2,1,_,0.4106762707233429,42
2,2,_,0.45974114537239075,33
2,3,_,0.4473477005958557,187
3,1,_,0.4087972342967987,18
3,2,_,0.5087013840675354,35
3,3,_,0.4513308107852936,23
1,1,_,0.4283963441848755,199
2,1,_,0.4736180901527405,46
2,2,_,0.4481896460056305,57
2,3,_,0.48259294033050537,95
1,1,_,0.3832318186759949,102
1,2,_,0.41784167289733887,151
2,1,_,0.43215927481651306,61
2,2,_,0.4709201157093048,199
2,3,_,0.44995054602622986,167
1,1,_,0.3291102349758148,170
1,2,_,0.41992294788360596,177
1,3,_,0.41422468423843384,199
2,1,_,0.4454478919506073,34
2,2,_,0.4175676107406616,137
2,3,_,0.4740447700023651,91
3,1,_,0.43676701188087463,17
3,2,_,0.40681082010269165,33
3,3,_,0.4014216363430023,33
